,RegionName,variable,value
544,Douglas Park,1997-03,0.0
545,Homan Square,1997-03,0.0
546,West Chesterfield,1997-03,68571.0
547,East Beverly,1997-03,160114.0
548,West Beverly,1997-03,131598.0
549,Goose Island,1997-03,216707.0
550,Bowmanville,1997-03,0.0
551,Oriole Park,1997-03,175416.0
552,Hanson Park,1997-03,135793.0
553,Ranch Triangle,1997-03,353624.0
554,Wrigleyville,1997-03,220156.0
555,North Kenwood,1997-03,147315.0
556,Vittum Park,1997-03,0.0
557,Wildwood,1997-03,204269.0
558,Old Norwood Park,1997-03,203296.0
559,Oakland,1997-03,168586.0
560,Ida B. Wells - Darrow Homes,1997-03,0.0
561,Pulaski Park,1997-03,214462.0
562,Avalon Park,1997-03,93748.0
563,Lake Meadows,1997-03,252476.0
564,Ravenswood Manor,1997-03,264103.0
565,West De Paul,1997-03,398785.0
566,Chinatown,1997-03,160927.0
567,Andersonville,1997-03,167908.0
568,Stony Island Park,1997-03,102477.0
569,West Morgan Park,1997-03,121084.0
570,Belmont Terrace,1997-03,140390.0
571,Magnolia Glen,1997-03,146474.0
572,Altgeld Gardens,1997-03,0.0
573,Graceland West,1997-03,294351.0
574,Marynook,1997-03,92056.0
575,The Bush,1997-03,0.0
576,Dearborn Park,1997-03,185171.0
577,Fifth City,1997-03,0.0
578,Lakewood - Balmoral,1997-03,401211.0
579,The Gap,1997-03,0.0
580,South East Ravenswood,1997-03,325968.0
581,Kennedy Park,1997-03,137638.0
582,The Robert Taylor Homes,1997-03,0.0
583,Jackson Park Highlands,1997-03,0.0
584,O'Hare International Airport,1997-03,0.0
585,Princeton Park,1997-03,0.0
586,Printers Row,1997-03,142887.0
587,River West,1997-03,0.0
588,Illinois Medical District,1997-03,0.0
589,Gladstone Park,1997-03,173072.0
590,Cottage Grove Heights,1997-03,0.0
591,East Pilsen,1997-03,171939.0
592,Fuller Park,1997-03,0.0
593,Ravenswood Gardens,1997-03,197621.0
594,Sauganash Woods,1997-03,275121.0
595,River's Edge,1997-03,0.0
596,LeClaire Courts,1997-03,0.0
597,Pill Hill,1997-03,83542.0
598,South Old Irving Park,1997-03,159877.0
599,Tally's Corner,1997-03,212719.0
600,South Commons,1997-03,0.0
601,Chrysler Village,1997-03,0.0
602,Parkview,1997-03,106608.0
603,Pullman,1997-03,0.0
604,Peterson Park,1997-03,208081.0
605,Beverly Woods,1997-03,124341.0
606,Greektown,1997-03,0.0
607,Forest Glen,1997-03,175048.0
608,Sleepy Hollow,1997-03,0.0
609,The Island,1997-03,0.0
610,Edgewater Glen,1997-03,0.0
611,Golden Gate,1997-03,0.0
612,Marycrest,1997-03,199649.0
613,Winneconna Parkway,1997-03,0.0
614,Stateway Gardens,1997-03,0.0
615,Lithuanian Plaza,1997-03,0.0
616,Heart of Italy,1997-03,0.0
617,Old Edgebrook,1997-03,287203.0
618,The Villa,1997-03,226228.0
619,Beverly View,1997-03,85520.0
620,Eden Green,1997-03,0.0
621,Mount Greenwood Heights,1997-03,131816.0
622,Cabrini Green,1997-03,0.0
623,Schorsch Forest View,1997-03,193303.0
624,Riverdale,1997-03,0.0
625,Groveland Park,1997-03,0.0
626,Brynford Park,1997-03,250301.0
627,Logan Square,1997-04,146215.0
628,Little Village,1997-04,0.0
629,West Rogers Park,1997-04,139984.0
630,South Austin,1997-04,0.0
631,Albany Park,1997-04,130769.0
632,Uptown,1997-04,124693.0
633,Lake View,1997-04,232242.0
634,Rogers Park,1997-04,106398.0
635,Gresham,1997-04,90189.0
